player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,34.0,32.0,2881.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.06,0.06,0.0,0.06,0.7,0.7,1.4,0.02,0.04,0.06,0.02,0.06,32.0,13.0,2.0,0.0,15.4,0.41,0.06,0.0,0.0,0.05,-0.7,-0.7,1087.0,1440.0,75.5,18371.0,6874.0,560.0,622.0,90.0,419.0,544.0,77.0,98.0,217.0,45.2,0.6,19.0,50.0,36.0,8.0,94.0,1102.0,338.0,27.0,2.0,173.0,19.0,45.0,0.0,0.0,0.0,0.0,847.0,307.0,286.0,157.0,929.0,29.0,311.0,2.0,7.0,28.0,52.0,56.0,38.0,1.19,27.0,2.0,3.0,4.0,2.0,0.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,69.0,37.0,50.0,19.0,0.0,37.0,58.0,63.8,21.0,434.0,113.0,26.0,255.0,140.0,39.0,86.0,22.0,1.0,64.0,56.0,69.0,0.0,1854.0,161.0,746.0,763.0,481.0,29.0,1528.0,33.0,78.0,42.3,35.0,6.0,1084.0,6382.0,3893.0,174.0,53.0,13.0,1153.0,1037.0,89.9,27.0,30.0,0.0,31.0,59.0,1.0,0.0,2.0,1.0,177.0,15.0,51.0,22.7
1,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,34.0,34.0,2983.0,2.0,0.0,0.0,0.0,5.0,1.0,0.06,0.0,0.06,0.06,0.06,1.2,1.2,0.8,0.04,0.02,0.06,0.04,0.06,33.1,18.0,6.0,0.0,33.3,0.54,0.18,0.11,0.33,0.07,0.8,0.8,1281.0,1555.0,82.4,27665.0,9529.0,339.0,377.0,89.9,740.0,828.0,89.4,187.0,303.0,61.7,-0.8,8.0,81.0,6.0,0.0,90.0,1455.0,100.0,81.0,0.0,188.0,55.0,2.0,0.0,0.0,0.0,0.0,1167.0,125.0,263.0,1050.0,402.0,49.0,14.0,4.0,5.0,32.0,41.0,29.0,21.0,0.63,14.0,0.0,3.0,1.0,0.0,3.0,1.0,0.03,0.0,0.0,1.0,0.0,0.0,0.0,62.0,46.0,41.0,20.0,1.0,13.0,27.0,48.1,14.0,451.0,162.0,35.9,252.0,170.0,29.0,62.0,26.0,2.0,36.0,103.0,106.0,0.0,1898.0,274.0,1085.0,852.0,96.0,28.0,1805.0,16.0,22.0,72.7,16.0,1.0,1183.0,6777.0,3824.0,91.0,24.0,0.0,1240.0,1202.0,96.9,15.0,13.0,0.0,43.0,24.0,0.0,0.0,1.0,0.0,224.0,67.0,45.0,59.8
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,31.0,29.0,2462.0,1.0,0.0,0.0,0.0,12.0,3.0,0.04,0.0,0.04,0.04,0.04,0.8,0.8,1.1,0.03,0.04,0.07,0.03,0.07,27.4,18.0,5.0,0.0,27.8,0.66,0.18,0.06,0.2,0.04,0.2,0.2,1532.0,1671.0,91.7,28312.0,5052.0,616.0,659.0,93.5,708.0,746.0,94.9,184.0,214.0,86.0,-1.1,15.0,77.0,13.0,1.0,81.0,1651.0,20.0,16.0,1.0,220.0,22.0,10.0,0.0,0.0,0.0,0.0,1440.0,129.0,102.0,132.0,1454.0,52.0,4.0,8.0,2.0,16.0,34.0,23.0,40.0,1.46,30.0,0.0,0.0,4.0,4.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,55.0,34.0,25.0,25.0,5.0,19.0,59.0,32.2,40.0,641.0,179.0,27.9,197.0,336.0,108.0,27.0,1.0,0.0,26.0,51.0,15.0,0.0,1930.0,55.0,621.0,1144.0,299.0,17.0,1914.0,27.0,42.0,64.3,30.0,2.0,1467.0,6755.0,2912.0,78.0,20.0,4.0,1605.0,1484.0,92.5,23.0,40.0,2.0,45.0,35.0,0.0,0.0,0.0,0.0,240.0,24.0,24.0,50.0
3,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,34.0,34.0,2956.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.06,0.06,0.0,0.06,2.0,2.0,2.9,0.06,0.09,0.15,0.06,0.15,32.8,30.0,7.0,0.0,23.3,0.91,0.21,0.0,0.0,0.07,-2.0,-2.0,1334.0,1635.0,81.6,25609.0,6758.0,534.0,603.0,88.6,566.0,644.0,87.9,205.0,308.0,66.6,-0.9,30.0,127.0,19.0,6.0,137.0,1607.0,28.0,21.0,6.0,311.0,49.0,26.0,1.0,0.0,0.0,0.0,1232.0,185.0,218.0,147.0,1441.0,24.0,5.0,5.0,7.0,18.0,60.0,55.0,66.0,2.01,49.0,2.0,1.0,1.0,7.0,6.0,5.0,0.15,4.0,0.0,0.0,0.0,1.0,0.0,117.0,73.0,49.0,56.0,12.0,59.0,163.0,36.2,104.0,918.0,259.0,28.2,304.0,502.0,112.0,55.0,3.0,0.0,52.0,84.0,11.0,0.0,2021.0,22.0,448.0,1323.0,379.0,15.0,1999.0,42.0,65.0,64.6,44.0,3.0,1500.0,5639.0,2834.0,94.0,37.0,3.0,1518.0,1412.0,93.0,28.0,48.0,0.0,46.0,68.0,1.0,0.0,0.0,0.0,291.0,14.0,14.0,50.0
4,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,33.3,24.0,0.0,1.0,2.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,1.0,7.1,0.0,11.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,9.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,59.0,9.0,0.0,1.0,0.0,12.0,8.0,66.7,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,24.0,5.0,726.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.12,0.12,0.0,0.12,2.2,2.2,1.1,0.27,0.14,0.41,0.27,0.41,8.1,18.0,4.0,0.0,22.2,2.23,0.5,0.0,0.0,0.12,-2.2,-2.2,90.0,139.0,64.7,1296.0,330.0,54.0,78.0,69.2,25.0,38.0,65.8,5.0,10.0,50.0,-0.1,8.0,7.0,6.0,0.0,13.0,130.0,9.0,1.0,1.0,42.0,2.0,2.0,0.0,0.0,0.0,0.0,87.0,32.0,20.0,27.0,76.0,19.0,0.0,3.0,2.0,5.0,5.0,9.0,20.0,2.48,12.0,0.0,0.0,1.0,2.0,5.0,2.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,14.0,7.0,3.0,7.0,4.0,2.0,11.0,18.2,9.0,190.0,39.0,20.5,21.0,81.0,88.0,10.0,3.0,0.0,7.0,8.0,7.0,0.0,267.0,9.0,28.0,126.0,126.0,31.0,258.0,6.0,18.0,33.3,7.0,1.0,154.0,605.0,326.0,21.0,8.0,7.0,335.0,171.0,51.0,41.0,11.0,0.0,18.0,12.0,15.0,0.0,0.0,0.0,39.0,22.0,40.0,35.5
6,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,7.0,1.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.03,0.32,0.3,0.32,1.1,2.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.17,-0.3,-0.3,8.0,10.0,80.0,100.0,22.0,4.0,6.0,66.7,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,4.0,15.4,4.0,14.0,8.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,25.0,2.0,2.0,11.0,12.0,3.0,25.0,1.0,2.0,50.0,1.0,0.0,18.0,68.0,35.0,3.0,0.0,0.0,39.0,13.0,33.3,2.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
7,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,37.0,36.0,3084.0,17.0,4.0,3.0,3.0,9.0,0.0,0.5,0.12,0.61,0.41,0.53,20.5,18.3,3.6,0.6,0.1,0.7,0.53,0.64,34.3,93.0,32.0,2.0,34.4,2.71,0.93,0.15,0.44,0.2,-3.5,-4.3,500.0,694.0,72.0,7714.0,1755.0,298.0,391.0,76.2,139.0,201.0,69.2,44.0,55.0,80.0,0.4,35.0,37.0,28.0,4.0,61.0,626.0,68.0,6.0,5.0,203.0,11.0,24.0,0.0,0.0,0.0,0.0,440.0,150.0,104.0,63.0,482.0,66.0,1.0,24.0,0.0,10.0,35.0,24.0,80.0,2.33,56.0,1.0,1.0,13.0,6.0,3.0,12.0,0.35,5.0,0.0,1.0,3.0,3.0,0.0,34.0,22.0,10.0,15.0,9.0,10.0,23.0,43.5,13.0,467.0,138.0,29.6,46.0,196.0,225.0,33.0,11.0,0.0,22.0,15.0,31.0,0.0,1111.0,33.0,87.0,559.0,523.0,201.0,1043.0,37.0,76.0,48.7,39.0,3.0,616.0,2634.0,1350.0,84.0,28.0,23.0,1413.0,767.0,54.3,82.0,44.0,0.0,43.0,50.0,17.0,1.0,1.0,0.0,126.0,82.0,99.0,45.3
8,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,8.0,6.0,560.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.08,0.0,0.08,0.08,0.08,6.2,2.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.24,-0.5,-0.5,194.0,220.0,88.2,4320.0,1153.0,42.0,46.0,91.3,115.0,124.0,92.7,36.0,48.0,75.0,0.0,0.0,8.0,0.0,0.0,9.0,211.0,9.0,5.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,175.0,15.0,30.0,181.0,22.0,11.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,0.48,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.16,0.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,5.0,1.0,1.0,3.0,4.0,75.0,1.0,35.0,13.0,37.1,14.0,20.0,1.0,13.0,5.0,2.0,8.0,11.0,39.0,1.0,290.0,63.0,186.0,113.0,7.0,5.0,282.0,0.0,0.0,0.0,0.0,0.0,156.0,803.0,478.0,7.0,0.0,0.0,187.0,182.0,97.3,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,25.0,12.0,15.0,44.4
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,30.0,29.0,2536.0,4.0,0.0,0.0,0.0,2.0,1.0,0.14,0.0,0.14,0.14,0.14,2.2,2.2,0.4,0.08,0.02,0.09,0.08,0.09,28.2,16.0,7.0,0.0,43.8,0.57,0.25,0.25,0.57,0.14,1.8,1.8,1812.0,2006.0,90.3,37942.0,11558.0,567.0,609.0,93.1,940.0,996.0,94.4,280.0,363.0,77.1,-0.4,6.0,122.0,6.0,0.0,88.0,1935.0,71.0,62.0,2.0,168.0,75.0,1.0,0.0,0.0,0.0,0.0,1489.0,158.0,359.0,1525.0,343.0,78.0,1.0,8.0,1.0,22.0,24.0,12.0,18.0,0.64,14.0,1.0,0.0,1.0,2.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,27.0,12.0,18.0,9.0,0.0,9.0,20.0,45.0,11.0,165.0,48.0,29.1,86.0,68.0,11.0,48.0,30.0,0.0,18.0,48.0,115.0,1.0,2263.0,348.0,1183.0,1167.0,65.0,22.0,2197.0,3.0,4.0,75.0,3.0,0.0,1478.0,8032.0,4557.0,98.0,20.0,0.0,1659.0,1631.0,98.3,8.0,3.0,0.0,20.0,19.0,4.0,1.0,0.0,0.0,302.0,80.0,45.0,64.0
