position,player,x,y,cluster,league,age,dominant_foot
DF,Max Aarons,12.591226,-0.6182113,2,Premier League,21,86% right footed
DF,Yunis Abdelhamid,-0.7688208,-4.86888,2,Ligue 1,33,72% left footed
DF,Francesco Acerbi,-14.565707,12.905178,3,Serie A,33,82% left footed
DF,Marcos Acuña,23.649231,-9.24154,1,La Liga,29,88% left footed
DF,Martin Agirregabiria,9.395046,-2.9962347,2,La Liga,25,93% right footed
DF,Nayef Aguerd,-16.91292,15.557865,3,Ligue 1,25,89% left footed
DF,Ruben Aguilar,2.1521773,3.8326125,2,Ligue 1,28,98% right footed
DF,Anel Ahmedhodzic,-4.894,9.477638,3,Ligue 1,22,83% right footed
DF,Joseph Aidoo,-9.896301,4.733298,3,La Liga,25,82% right footed
DF,Ola Aina,12.495968,0.8523663,2,Serie A,24,74% right footed
DF,Rayan Aït Nouri,16.357876,-12.236873,2,Premier League,20,86% left footed
DF,Kristoffer Ajer,-13.038234,-9.246122,0,Premier League,23,93% right footed
DF,Manuel Akanji,-7.856031,14.09569,3,Bundesliga,26,79% right footed
DF,Carlos Akapo,3.6895108,-8.574004,2,La Liga,28,94% right footed
DF,Nathan Aké,-12.8238,18.884378,3,Premier League,26,80% left footed
DF,Kevin Akpoguma,15.937262,-7.681201,2,Bundesliga,26,88% right footed
DF,David Alaba,5.3970656,11.099208,3,La Liga,29,87% left footed
DF,Jordi Alba,29.576275,-6.446829,1,La Liga,32,88% left footed
DF,Raúl Albiol,-15.969919,13.8017,3,La Liga,35,83% right footed
DF,Marc Albrighton,9.769861,-11.871479,2,Premier League,31,92% right footed
DF,Omar Alderete,-9.563173,-6.2031317,0,La Liga,24,92% left footed
DF,Trent Alexander-Arnold,31.335268,-5.2017794,1,Premier League,22,88% right footed
DF,Marcos Alonso,30.165482,-2.9923356,1,Premier League,30,91% left footed
DF,Giorgio Altare,-7.886008,-8.359944,0,Serie A,22,77% right footed
DF,Yeray Álvarez,-13.063606,6.879323,0,La Liga,26,92% right footed
DF,Dani Alves,23.520649,-9.937916,1,La Liga,38,88% right footed
DF,Daniel Amartey,-16.83549,6.92983,3,Premier League,26,91% right footed
